period_start_hh,period_start_m,period_dayweek,temp,dwpt,rhum,wspd
03,00,0,27.0,18.0,58.0,3.6
03,02,0,27.0,18.0,58.0,3.6
03,04,0,27.0,18.0,58.0,3.6
03,06,0,27.0,18.0,58.0,3.6
03,08,0,27.0,18.0,58.0,3.6
03,10,0,27.0,18.0,58.0,3.6
03,12,0,27.0,18.0,58.0,3.6
03,14,0,27.0,18.0,58.0,3.6
03,16,0,27.0,18.0,58.0,3.6
03,18,0,27.0,18.0,58.0,3.6
03,20,0,27.0,18.0,58.0,3.6
03,22,0,27.0,18.0,58.0,3.6
03,24,0,27.0,18.0,58.0,3.6
03,26,0,27.0,18.0,58.0,3.6
03,28,0,27.0,18.0,58.0,3.6
03,30,0,27.0,18.0,58.0,3.6
03,32,0,27.0,18.0,58.0,3.6
03,34,0,27.0,18.0,58.0,3.6
03,36,0,27.0,18.0,58.0,3.6
03,38,0,27.0,18.0,58.0,3.6
03,40,0,27.0,18.0,58.0,3.6
03,42,0,27.0,18.0,58.0,3.6
03,44,0,27.0,18.0,58.0,3.6
03,46,0,27.0,18.0,58.0,3.6
03,48,0,27.0,18.0,58.0,3.6
03,50,0,27.0,18.0,58.0,3.6
03,52,0,27.0,18.0,58.0,3.6
03,54,0,27.0,18.0,58.0,3.6
03,56,0,27.0,18.0,58.0,3.6
03,58,0,27.0,18.0,58.0,3.6
04,00,0,27.0,18.0,58.0,7.2
04,02,0,27.0,18.0,58.0,7.2
04,04,0,27.0,18.0,58.0,7.2
04,06,0,27.0,18.0,58.0,7.2
04,08,0,27.0,18.0,58.0,7.2
04,10,0,27.0,18.0,58.0,7.2
04,12,0,27.0,18.0,58.0,7.2
04,14,0,27.0,18.0,58.0,7.2
04,16,0,27.0,18.0,58.0,7.2
04,18,0,27.0,18.0,58.0,7.2
04,20,0,27.0,18.0,58.0,7.2
04,22,0,27.0,18.0,58.0,7.2
04,24,0,27.0,18.0,58.0,7.2
04,26,0,27.0,18.0,58.0,7.2
04,28,0,27.0,18.0,58.0,7.2
04,30,0,27.0,18.0,58.0,7.2
04,32,0,27.0,18.0,58.0,7.2
04,34,0,27.0,18.0,58.0,7.2
04,36,0,27.0,18.0,58.0,7.2
04,38,0,27.0,18.0,58.0,7.2
04,40,0,27.0,18.0,58.0,7.2
04,42,0,27.0,18.0,58.0,7.2
04,44,0,27.0,18.0,58.0,7.2
04,46,0,27.0,18.0,58.0,7.2
04,48,0,27.0,18.0,58.0,7.2
04,50,0,27.0,18.0,58.0,7.2
04,52,0,27.0,18.0,58.0,7.2
04,54,0,27.0,18.0,58.0,7.2
04,56,0,27.0,18.0,58.0,7.2
04,58,0,27.0,18.0,58.0,7.2
03,00,0,27.0,18.0,58.0,3.6
03,02,0,27.0,18.0,58.0,3.6
03,04,0,27.0,18.0,58.0,3.6
03,06,0,27.0,18.0,58.0,3.6
03,08,0,27.0,18.0,58.0,3.6
03,10,0,27.0,18.0,58.0,3.6
03,12,0,27.0,18.0,58.0,3.6
03,14,0,27.0,18.0,58.0,3.6
03,16,0,27.0,18.0,58.0,3.6
03,18,0,27.0,18.0,58.0,3.6
03,20,0,27.0,18.0,58.0,3.6
03,22,0,27.0,18.0,58.0,3.6
03,24,0,27.0,18.0,58.0,3.6
03,26,0,27.0,18.0,58.0,3.6
03,28,0,27.0,18.0,58.0,3.6
03,30,0,27.0,18.0,58.0,3.6
03,32,0,27.0,18.0,58.0,3.6
03,34,0,27.0,18.0,58.0,3.6
03,36,0,27.0,18.0,58.0,3.6
03,38,0,27.0,18.0,58.0,3.6
03,40,0,27.0,18.0,58.0,3.6
03,42,0,27.0,18.0,58.0,3.6
03,44,0,27.0,18.0,58.0,3.6
03,46,0,27.0,18.0,58.0,3.6
03,48,0,27.0,18.0,58.0,3.6
03,50,0,27.0,18.0,58.0,3.6
03,52,0,27.0,18.0,58.0,3.6
03,54,0,27.0,18.0,58.0,3.6
03,56,0,27.0,18.0,58.0,3.6
03,58,0,27.0,18.0,58.0,3.6
04,00,0,27.0,18.0,58.0,7.2
04,02,0,27.0,18.0,58.0,7.2
04,04,0,27.0,18.0,58.0,7.2
04,06,0,27.0,18.0,58.0,7.2
04,08,0,27.0,18.0,58.0,7.2
04,10,0,27.0,18.0,58.0,7.2
04,12,0,27.0,18.0,58.0,7.2
04,14,0,27.0,18.0,58.0,7.2
04,16,0,27.0,18.0,58.0,7.2
04,18,0,27.0,18.0,58.0,7.2
04,20,0,27.0,18.0,58.0,7.2
04,22,0,27.0,18.0,58.0,7.2
04,24,0,27.0,18.0,58.0,7.2
04,26,0,27.0,18.0,58.0,7.2
04,28,0,27.0,18.0,58.0,7.2
04,30,0,27.0,18.0,58.0,7.2
04,32,0,27.0,18.0,58.0,7.2
04,34,0,27.0,18.0,58.0,7.2
04,36,0,27.0,18.0,58.0,7.2
04,38,0,27.0,18.0,58.0,7.2
04,40,0,27.0,18.0,58.0,7.2
04,42,0,27.0,18.0,58.0,7.2
04,44,0,27.0,18.0,58.0,7.2
04,46,0,27.0,18.0,58.0,7.2
04,48,0,27.0,18.0,58.0,7.2
04,50,0,27.0,18.0,58.0,7.2
04,52,0,27.0,18.0,58.0,7.2
04,54,0,27.0,18.0,58.0,7.2
04,56,0,27.0,18.0,58.0,7.2
04,58,0,27.0,18.0,58.0,7.2
03,00,1,25.0,20.0,74.0,10.8
03,02,1,25.0,20.0,74.0,10.8
03,04,1,25.0,20.0,74.0,10.8
03,06,1,25.0,20.0,74.0,10.8
03,08,1,25.0,20.0,74.0,10.8
03,10,1,25.0,20.0,74.0,10.8
03,12,1,25.0,20.0,74.0,10.8
03,14,1,25.0,20.0,74.0,10.8
03,16,1,25.0,20.0,74.0,10.8
03,18,1,25.0,20.0,74.0,10.8
03,20,1,25.0,20.0,74.0,10.8
03,22,1,25.0,20.0,74.0,10.8
03,24,1,25.0,20.0,74.0,10.8
03,26,1,25.0,20.0,74.0,10.8
03,28,1,25.0,20.0,74.0,10.8
03,30,1,25.0,20.0,74.0,10.8
03,32,1,25.0,20.0,74.0,10.8
03,34,1,25.0,20.0,74.0,10.8
03,36,1,25.0,20.0,74.0,10.8
03,38,1,25.0,20.0,74.0,10.8
03,40,1,25.0,20.0,74.0,10.8
03,42,1,25.0,20.0,74.0,10.8
03,44,1,25.0,20.0,74.0,10.8
03,46,1,25.0,20.0,74.0,10.8
03,48,1,25.0,20.0,74.0,10.8
03,50,1,25.0,20.0,74.0,10.8
03,52,1,25.0,20.0,74.0,10.8
03,54,1,25.0,20.0,74.0,10.8
03,56,1,25.0,20.0,74.0,10.8
03,58,1,25.0,20.0,74.0,10.8
04,00,1,24.0,19.9,78.0,7.2
04,02,1,24.0,19.9,78.0,7.2
04,04,1,24.0,19.9,78.0,7.2
04,06,1,24.0,19.9,78.0,7.2
04,08,1,24.0,19.9,78.0,7.2
04,10,1,24.0,19.9,78.0,7.2
04,12,1,24.0,19.9,78.0,7.2
04,14,1,24.0,19.9,78.0,7.2
04,16,1,24.0,19.9,78.0,7.2
04,18,1,24.0,19.9,78.0,7.2
04,20,1,24.0,19.9,78.0,7.2
04,22,1,24.0,19.9,78.0,7.2
04,24,1,24.0,19.9,78.0,7.2
04,26,1,24.0,19.9,78.0,7.2
04,28,1,24.0,19.9,78.0,7.2
04,30,1,24.0,19.9,78.0,7.2
04,32,1,24.0,19.9,78.0,7.2
04,34,1,24.0,19.9,78.0,7.2
04,36,1,24.0,19.9,78.0,7.2
04,38,1,24.0,19.9,78.0,7.2
04,40,1,24.0,19.9,78.0,7.2
04,42,1,24.0,19.9,78.0,7.2
04,44,1,24.0,19.9,78.0,7.2
04,46,1,24.0,19.9,78.0,7.2
04,48,1,24.0,19.9,78.0,7.2
04,50,1,24.0,19.9,78.0,7.2
04,52,1,24.0,19.9,78.0,7.2
04,54,1,24.0,19.9,78.0,7.2
04,56,1,24.0,19.9,78.0,7.2
04,58,1,24.0,19.9,78.0,7.2
03,00,1,25.0,20.0,74.0,10.8
03,02,1,25.0,20.0,74.0,10.8
03,04,1,25.0,20.0,74.0,10.8
03,06,1,25.0,20.0,74.0,10.8
03,08,1,25.0,20.0,74.0,10.8
03,10,1,25.0,20.0,74.0,10.8
03,12,1,25.0,20.0,74.0,10.8
03,14,1,25.0,20.0,74.0,10.8
03,16,1,25.0,20.0,74.0,10.8
03,18,1,25.0,20.0,74.0,10.8
03,20,1,25.0,20.0,74.0,10.8
03,22,1,25.0,20.0,74.0,10.8
03,24,1,25.0,20.0,74.0,10.8
03,26,1,25.0,20.0,74.0,10.8
03,28,1,25.0,20.0,74.0,10.8
03,30,1,25.0,20.0,74.0,10.8
03,32,1,25.0,20.0,74.0,10.8
03,34,1,25.0,20.0,74.0,10.8
03,36,1,25.0,20.0,74.0,10.8
03,38,1,25.0,20.0,74.0,10.8
03,40,1,25.0,20.0,74.0,10.8
03,42,1,25.0,20.0,74.0,10.8
03,44,1,25.0,20.0,74.0,10.8
03,46,1,25.0,20.0,74.0,10.8
03,48,1,25.0,20.0,74.0,10.8
03,50,1,25.0,20.0,74.0,10.8
03,52,1,25.0,20.0,74.0,10.8
03,54,1,25.0,20.0,74.0,10.8
03,56,1,25.0,20.0,74.0,10.8
03,58,1,25.0,20.0,74.0,10.8
04,00,1,24.0,19.9,78.0,7.2
04,02,1,24.0,19.9,78.0,7.2
04,04,1,24.0,19.9,78.0,7.2
04,06,1,24.0,19.9,78.0,7.2
04,08,1,24.0,19.9,78.0,7.2
04,10,1,24.0,19.9,78.0,7.2
04,12,1,24.0,19.9,78.0,7.2
04,14,1,24.0,19.9,78.0,7.2
04,16,1,24.0,19.9,78.0,7.2
04,18,1,24.0,19.9,78.0,7.2
04,20,1,24.0,19.9,78.0,7.2
04,22,1,24.0,19.9,78.0,7.2
04,24,1,24.0,19.9,78.0,7.2
04,26,1,24.0,19.9,78.0,7.2
04,28,1,24.0,19.9,78.0,7.2
04,30,1,24.0,19.9,78.0,7.2
04,32,1,24.0,19.9,78.0,7.2
04,34,1,24.0,19.9,78.0,7.2
04,36,1,24.0,19.9,78.0,7.2
04,38,1,24.0,19.9,78.0,7.2
04,40,1,24.0,19.9,78.0,7.2
04,42,1,24.0,19.9,78.0,7.2
04,44,1,24.0,19.9,78.0,7.2
04,46,1,24.0,19.9,78.0,7.2
04,48,1,24.0,19.9,78.0,7.2
04,50,1,24.0,19.9,78.0,7.2
04,52,1,24.0,19.9,78.0,7.2
04,54,1,24.0,19.9,78.0,7.2
04,56,1,24.0,19.9,78.0,7.2
04,58,1,24.0,19.9,78.0,7.2
03,00,2,25.0,15.9,57.0,7.2
03,02,2,25.0,15.9,57.0,7.2
03,04,2,25.0,15.9,57.0,7.2
03,06,2,25.0,15.9,57.0,7.2
03,08,2,25.0,15.9,57.0,7.2
03,10,2,25.0,15.9,57.0,7.2
03,12,2,25.0,15.9,57.0,7.2
03,14,2,25.0,15.9,57.0,7.2
03,16,2,25.0,15.9,57.0,7.2
03,18,2,25.0,15.9,57.0,7.2
03,20,2,25.0,15.9,57.0,7.2
03,22,2,25.0,15.9,57.0,7.2
03,24,2,25.0,15.9,57.0,7.2
03,26,2,25.0,15.9,57.0,7.2
03,28,2,25.0,15.9,57.0,7.2
03,30,2,25.0,15.9,57.0,7.2
03,32,2,25.0,15.9,57.0,7.2
03,34,2,25.0,15.9,57.0,7.2
03,36,2,25.0,15.9,57.0,7.2
03,38,2,25.0,15.9,57.0,7.2
03,40,2,25.0,15.9,57.0,7.2
03,42,2,25.0,15.9,57.0,7.2
03,44,2,25.0,15.9,57.0,7.2
03,46,2,25.0,15.9,57.0,7.2
03,48,2,25.0,15.9,57.0,7.2
03,50,2,25.0,15.9,57.0,7.2
03,52,2,25.0,15.9,57.0,7.2
03,54,2,25.0,15.9,57.0,7.2
03,56,2,25.0,15.9,57.0,7.2
03,58,2,25.0,15.9,57.0,7.2
04,00,2,27.0,15.1,48.0,14.4
04,02,2,27.0,15.1,48.0,14.4
04,04,2,27.0,15.1,48.0,14.4
04,06,2,27.0,15.1,48.0,14.4
04,08,2,27.0,15.1,48.0,14.4
04,10,2,27.0,15.1,48.0,14.4
04,12,2,27.0,15.1,48.0,14.4
04,14,2,27.0,15.1,48.0,14.4
04,16,2,27.0,15.1,48.0,14.4
04,18,2,27.0,15.1,48.0,14.4
04,20,2,27.0,15.1,48.0,14.4
04,22,2,27.0,15.1,48.0,14.4
04,24,2,27.0,15.1,48.0,14.4
04,26,2,27.0,15.1,48.0,14.4
04,28,2,27.0,15.1,48.0,14.4
04,30,2,27.0,15.1,48.0,14.4
04,32,2,27.0,15.1,48.0,14.4
04,34,2,27.0,15.1,48.0,14.4
04,36,2,27.0,15.1,48.0,14.4
04,38,2,27.0,15.1,48.0,14.4
04,40,2,27.0,15.1,48.0,14.4
04,42,2,27.0,15.1,48.0,14.4
04,44,2,27.0,15.1,48.0,14.4
04,46,2,27.0,15.1,48.0,14.4
04,48,2,27.0,15.1,48.0,14.4
04,50,2,27.0,15.1,48.0,14.4
04,52,2,27.0,15.1,48.0,14.4
04,54,2,27.0,15.1,48.0,14.4
04,56,2,27.0,15.1,48.0,14.4
04,58,2,27.0,15.1,48.0,14.4
03,00,2,25.0,15.9,57.0,7.2
03,02,2,25.0,15.9,57.0,7.2
03,04,2,25.0,15.9,57.0,7.2
03,06,2,25.0,15.9,57.0,7.2
03,08,2,25.0,15.9,57.0,7.2
03,10,2,25.0,15.9,57.0,7.2
