period_start_hh,period_start_m,period_dayweek,slot,temp,dwpt,rhum,wspd
03,00,0,A,27.0,18.0,58.0,3.6
03,02,0,A,27.0,18.0,58.0,3.6
03,04,0,A,27.0,18.0,58.0,3.6
03,06,0,A,27.0,18.0,58.0,3.6
03,08,0,A,27.0,18.0,58.0,3.6
03,10,0,A,27.0,18.0,58.0,3.6
03,12,0,A,27.0,18.0,58.0,3.6
03,14,0,A,27.0,18.0,58.0,3.6
03,16,0,A,27.0,18.0,58.0,3.6
03,18,0,A,27.0,18.0,58.0,3.6
03,20,0,A,27.0,18.0,58.0,3.6
03,22,0,A,27.0,18.0,58.0,3.6
03,24,0,A,27.0,18.0,58.0,3.6
03,26,0,A,27.0,18.0,58.0,3.6
03,28,0,A,27.0,18.0,58.0,3.6
03,30,0,A,27.0,18.0,58.0,3.6
03,32,0,A,27.0,18.0,58.0,3.6
03,34,0,A,27.0,18.0,58.0,3.6
03,36,0,A,27.0,18.0,58.0,3.6
03,38,0,A,27.0,18.0,58.0,3.6
03,40,0,A,27.0,18.0,58.0,3.6
03,42,0,A,27.0,18.0,58.0,3.6
03,44,0,A,27.0,18.0,58.0,3.6
03,46,0,A,27.0,18.0,58.0,3.6
03,48,0,A,27.0,18.0,58.0,3.6
03,50,0,A,27.0,18.0,58.0,3.6
03,52,0,A,27.0,18.0,58.0,3.6
03,54,0,A,27.0,18.0,58.0,3.6
03,56,0,A,27.0,18.0,58.0,3.6
03,58,0,A,27.0,18.0,58.0,3.6
04,00,0,A,27.0,18.0,58.0,7.2
04,02,0,A,27.0,18.0,58.0,7.2
04,04,0,A,27.0,18.0,58.0,7.2
04,06,0,A,27.0,18.0,58.0,7.2
04,08,0,A,27.0,18.0,58.0,7.2
04,10,0,A,27.0,18.0,58.0,7.2
04,12,0,A,27.0,18.0,58.0,7.2
04,14,0,A,27.0,18.0,58.0,7.2
04,16,0,A,27.0,18.0,58.0,7.2
04,18,0,A,27.0,18.0,58.0,7.2
04,20,0,A,27.0,18.0,58.0,7.2
04,22,0,A,27.0,18.0,58.0,7.2
04,24,0,A,27.0,18.0,58.0,7.2
04,26,0,A,27.0,18.0,58.0,7.2
04,28,0,A,27.0,18.0,58.0,7.2
04,30,0,A,27.0,18.0,58.0,7.2
04,32,0,A,27.0,18.0,58.0,7.2
04,34,0,A,27.0,18.0,58.0,7.2
04,36,0,A,27.0,18.0,58.0,7.2
04,38,0,A,27.0,18.0,58.0,7.2
04,40,0,A,27.0,18.0,58.0,7.2
04,42,0,A,27.0,18.0,58.0,7.2
04,44,0,A,27.0,18.0,58.0,7.2
04,46,0,A,27.0,18.0,58.0,7.2
04,48,0,A,27.0,18.0,58.0,7.2
04,50,0,A,27.0,18.0,58.0,7.2
04,52,0,A,27.0,18.0,58.0,7.2
04,54,0,A,27.0,18.0,58.0,7.2
04,56,0,A,27.0,18.0,58.0,7.2
04,58,0,A,27.0,18.0,58.0,7.2
08,00,0,B,31.0,17.0,43.0,7.2
08,02,0,B,31.0,17.0,43.0,7.2
08,04,0,B,31.0,17.0,43.0,7.2
08,06,0,B,31.0,17.0,43.0,7.2
08,08,0,B,31.0,17.0,43.0,7.2
08,10,0,B,31.0,17.0,43.0,7.2
