,name_road,oldname_road,points
0,0,2,"[(30.75066046, 103.9460064), (30.75449343, 103.9412759)]"
1,1,54,"[(30.73807002, 104.1588451), (30.72511547, 104.1462028)]"
2,2,94,"[(30.74137286, 103.9354466), (30.70607506, 103.9313093)]"
3,3,96,"[(30.74137286, 103.9354466), (30.75449343, 103.9412759)]"
4,4,103,"[(30.75834783, 104.1675722), (30.73707999, 104.190672)]"
5,5,104,"[(30.75834783, 104.1675722), (30.77433248, 104.1374701)]"
6,6,144,"[(30.77857558, 104.127086), (30.77433248, 104.1374701)]"
7,7,167,"[(30.67412276, 104.1731426), (30.67205697, 104.1604886)]"
8,8,169,"[(30.67412276, 104.1731426), (30.67494723, 104.2033612)]"
9,9,179,"[(30.75449343, 103.9412759), (30.7700213, 103.9552436)]"
10,10,181,"[(30.78668402, 104.0737873), (30.78634412, 104.0475071)]"
11,11,183,"[(30.73707999, 104.190672), (30.70612702, 104.200667)]"
12,12,191,"[(30.70633756, 104.1033786), (30.70628948, 104.1015938)]"
13,13,193,"[(30.70633756, 104.1033786), (30.7062197, 104.1060918)]"
14,14,209,"[(30.61070341, 103.9487338), (30.60401625, 103.9604905)]"
15,15,211,"[(30.61070341, 103.9487338), (30.630378, 103.9425616)]"
16,16,212,"[(30.60430027, 104.0422154), (30.60236365, 104.0400367)]"
17,17,252,"[(30.58423404, 104.0292501), (30.5816609, 104.0283682)]"
18,18,255,"[(30.58423404, 104.0292501), (30.58666704, 104.0301944)]"
19,19,297,"[(30.5856335, 104.0186689), (30.58962127, 103.9997597)]"
20,20,359,"[(30.72511547, 104.1462028), (30.71471837, 104.1329977)]"
21,21,389,"[(30.78634412, 104.0475071), (30.78236038, 103.9849489)]"
22,22,423,"[(30.6181818, 104.2035543), (30.59277035, 104.1771707)]"
23,23,425,"[(30.6181818, 104.2035543), (30.6509292, 104.204397)]"
24,24,564,"[(30.56814664, 104.0696326), (30.56811912, 104.0661417)]"
25,25,565,"[(30.56814664, 104.0696326), (30.56871008, 104.0765396)]"
26,26,567,"[(30.57428621, 104.1502536), (30.57872323, 104.1638932)]"
27,27,590,"[(30.58034411, 104.0201993), (30.57742312, 104.0266743)]"
