,name_road,oldname_road,points
0,0,2,"[(30.75066046, 103.9460064), (30.75449343, 103.9412759)]"
1,1,41,"[(30.59740351, 104.1323295), (30.59511501, 104.1360359)]"
2,2,43,"[(30.59740351, 104.1323295), (30.60216894, 104.1246492)]"
3,3,54,"[(30.73807002, 104.1588451), (30.72511547, 104.1462028)]"
4,4,94,"[(30.74137286, 103.9354466), (30.70607506, 103.9313093)]"
5,5,96,"[(30.74137286, 103.9354466), (30.75449343, 103.9412759)]"
6,6,100,"[(30.7410774, 104.0422933), (30.74664014, 104.042756)]"
7,7,103,"[(30.75834783, 104.1675722), (30.73707999, 104.190672)]"
8,8,104,"[(30.75834783, 104.1675722), (30.77433248, 104.1374701)]"
9,9,107,"[(30.71275996, 103.9945272), (30.71446713, 103.9922205)]"
10,10,134,"[(30.60063219, 104.0579082), (30.60054761, 104.0612128)]"
11,11,135,"[(30.60063219, 104.0579082), (30.60075578, 104.0551975)]"
12,12,144,"[(30.77857558, 104.127086), (30.77433248, 104.1374701)]"
13,13,167,"[(30.67412276, 104.1731426), (30.67205697, 104.1604886)]"
14,14,169,"[(30.67412276, 104.1731426), (30.67494723, 104.2033612)]"
15,15,179,"[(30.75449343, 103.9412759), (30.7700213, 103.9552436)]"
16,16,181,"[(30.78668402, 104.0737873), (30.78634412, 104.0475071)]"
17,17,183,"[(30.73707999, 104.190672), (30.70612702, 104.200667)]"
18,18,191,"[(30.70633756, 104.1033786), (30.70628948, 104.1015938)]"
19,19,193,"[(30.70633756, 104.1033786), (30.7062197, 104.1060918)]"
20,20,209,"[(30.61070341, 103.9487338), (30.60401625, 103.9604905)]"
21,21,211,"[(30.61070341, 103.9487338), (30.630378, 103.9425616)]"
22,22,212,"[(30.60430027, 104.0422154), (30.60236365, 104.0400367)]"
23,23,252,"[(30.58423404, 104.0292501), (30.5816609, 104.0283682)]"
24,24,255,"[(30.58423404, 104.0292501), (30.58666704, 104.0301944)]"
25,25,266,"[(30.75266673, 103.9772319), (30.75869493, 103.9721281)]"
26,26,277,"[(30.69006594, 104.1011692), (30.68819597, 104.099622)]"
27,27,279,"[(30.69006594, 104.1011692), (30.69290878, 104.1032345)]"
28,28,297,"[(30.5856335, 104.0186689), (30.58962127, 103.9997597)]"
29,29,301,"[(30.59261383, 104.1400423), (30.59204616, 104.1409451)]"
30,30,302,"[(30.59261383, 104.1400423), (30.59511501, 104.1360359)]"
31,31,304,"[(30.7700213, 103.9552436), (30.76609451, 103.9619529)]"
32,32,309,"[(30.68621014, 103.9945152), (30.68390412, 103.9929798)]"
33,33,313,"[(30.67914647, 104.0217392), (30.67648682, 104.0192811)]"
34,34,315,"[(30.67914647, 104.0217392), (30.68025139, 104.0229629)]"
35,35,330,"[(30.63929681, 104.1371922), (30.63877966, 104.1412091)]"
36,36,339,"[(30.58360116, 104.0758544), (30.57817949, 104.0723172)]"
37,37,340,"[(30.58360116, 104.0758544), (30.59133644, 104.0750659)]"
38,38,359,"[(30.72511547, 104.1462028), (30.71471837, 104.1329977)]"
39,39,364,"[(30.66338368, 104.0192612), (30.65955788, 104.0194321)]"
40,40,366,"[(30.66338368, 104.0192612), (30.66475911, 104.0192041)]"
41,41,388,"[(30.76457468, 103.9946657), (30.78236038, 103.9849489)]"
42,42,389,"[(30.78634412, 104.0475071), (30.78236038, 103.9849489)]"
43,43,423,"[(30.6181818, 104.2035543), (30.59277035, 104.1771707)]"
44,44,425,"[(30.6181818, 104.2035543), (30.6509292, 104.204397)]"
45,45,427,"[(30.73928236, 103.9650646), (30.73083762, 103.9731196)]"
46,46,428,"[(30.733702, 104.0434242), (30.72816811, 104.0456118)]"
47,47,460,"[(30.61375537, 104.1381502), (30.61186495, 104.1369858)]"
48,48,462,"[(30.61375537, 104.1381502), (30.6184338, 104.1414436)]"
49,49,475,"[(30.63381597, 103.9954272), (30.63202614, 103.996384)]"
50,50,477,"[(30.63381597, 103.9954272), (30.63635869, 103.9938527)]"
51,51,498,"[(30.58671198, 104.1497085), (30.57872323, 104.1638932)]"
52,52,499,"[(30.58671198, 104.1497085), (30.59204616, 104.1409451)]"
53,53,504,"[(30.69713022, 104.0568862), (30.69708848, 104.0548859)]"
54,54,506,"[(30.69713022, 104.0568862), (30.69710359, 104.0638617)]"
55,55,524,"[(30.65083151, 104.1550545), (30.64137098, 104.1515982)]"
56,56,527,"[(30.65083151, 104.1550545), (30.65730466, 104.1571519)]"
57,57,534,"[(30.59610836, 104.1071128), (30.59430952, 104.1072423)]"
58,58,536,"[(30.59610836, 104.1071128), (30.59843923, 104.1068588)]"
59,59,545,"[(30.70536762, 104.1004636), (30.70628948, 104.1015938)]"
60,60,547,"[(30.6846658, 104.1595999), (30.67205697, 104.1604886)]"
61,61,548,"[(30.6846658, 104.1595999), (30.69079437, 104.159153)]"
62,62,562,"[(30.60054761, 104.0612128), (30.60060628, 104.0651384)]"
63,63,564,"[(30.56814664, 104.0696326), (30.56811912, 104.0661417)]"
64,64,565,"[(30.56814664, 104.0696326), (30.56871008, 104.0765396)]"
65,65,567,"[(30.57428621, 104.1502536), (30.57872323, 104.1638932)]"
66,66,569,"[(30.73704047, 103.9925196), (30.72959782, 104.0040185)]"
67,67,577,"[(30.69530501, 104.158776), (30.69079437, 104.159153)]"
68,68,578,"[(30.66853964, 103.9848234), (30.66415007, 103.9830108)]"
69,69,579,"[(30.66853964, 103.9848234), (30.67072388, 103.9857416)]"
70,70,581,"[(30.63011246, 104.0389082), (30.62937504, 104.0404878)]"
71,71,582,"[(30.63011246, 104.0389082), (30.6316149, 104.0358641)]"
72,72,590,"[(30.58034411, 104.0201993), (30.57742312, 104.0266743)]"
73,73,591,"[(30.58034411, 104.0201993), (30.58332268, 104.0158469)]"
74,74,592,"[(30.58034411, 104.0201993), (30.58528944, 104.0258455)]"
75,75,598,"[(30.7539247, 104.0481228), (30.76138863, 104.0479925)]"
76,76,610,"[(30.63202614, 103.996384), (30.629674, 103.998551)]"
77,77,611,"[(30.63202614, 103.996384), (30.63414755, 104.0003855)]"
