,name_road,oldname_road,points
0,0,41,"[(30.59740351, 104.1323295), (30.59511501, 104.1360359)]"
1,1,43,"[(30.59740351, 104.1323295), (30.60216894, 104.1246492)]"
2,2,100,"[(30.7410774, 104.0422933), (30.74664014, 104.042756)]"
3,3,107,"[(30.71275996, 103.9945272), (30.71446713, 103.9922205)]"
4,4,134,"[(30.60063219, 104.0579082), (30.60054761, 104.0612128)]"
5,5,135,"[(30.60063219, 104.0579082), (30.60075578, 104.0551975)]"
6,6,266,"[(30.75266673, 103.9772319), (30.75869493, 103.9721281)]"
7,7,277,"[(30.69006594, 104.1011692), (30.68819597, 104.099622)]"
8,8,279,"[(30.69006594, 104.1011692), (30.69290878, 104.1032345)]"
9,9,301,"[(30.59261383, 104.1400423), (30.59204616, 104.1409451)]"
10,10,302,"[(30.59261383, 104.1400423), (30.59511501, 104.1360359)]"
11,11,304,"[(30.7700213, 103.9552436), (30.76609451, 103.9619529)]"
12,12,309,"[(30.68621014, 103.9945152), (30.68390412, 103.9929798)]"
13,13,313,"[(30.67914647, 104.0217392), (30.67648682, 104.0192811)]"
14,14,315,"[(30.67914647, 104.0217392), (30.68025139, 104.0229629)]"
15,15,330,"[(30.63929681, 104.1371922), (30.63877966, 104.1412091)]"
16,16,339,"[(30.58360116, 104.0758544), (30.57817949, 104.0723172)]"
17,17,340,"[(30.58360116, 104.0758544), (30.59133644, 104.0750659)]"
18,18,364,"[(30.66338368, 104.0192612), (30.65955788, 104.0194321)]"
19,19,366,"[(30.66338368, 104.0192612), (30.66475911, 104.0192041)]"
20,20,388,"[(30.76457468, 103.9946657), (30.78236038, 103.9849489)]"
21,21,427,"[(30.73928236, 103.9650646), (30.73083762, 103.9731196)]"
22,22,428,"[(30.733702, 104.0434242), (30.72816811, 104.0456118)]"
23,23,460,"[(30.61375537, 104.1381502), (30.61186495, 104.1369858)]"
24,24,462,"[(30.61375537, 104.1381502), (30.6184338, 104.1414436)]"
25,25,475,"[(30.63381597, 103.9954272), (30.63202614, 103.996384)]"
26,26,477,"[(30.63381597, 103.9954272), (30.63635869, 103.9938527)]"
27,27,498,"[(30.58671198, 104.1497085), (30.57872323, 104.1638932)]"
28,28,499,"[(30.58671198, 104.1497085), (30.59204616, 104.1409451)]"
29,29,504,"[(30.69713022, 104.0568862), (30.69708848, 104.0548859)]"
30,30,506,"[(30.69713022, 104.0568862), (30.69710359, 104.0638617)]"
31,31,524,"[(30.65083151, 104.1550545), (30.64137098, 104.1515982)]"
32,32,527,"[(30.65083151, 104.1550545), (30.65730466, 104.1571519)]"
33,33,534,"[(30.59610836, 104.1071128), (30.59430952, 104.1072423)]"
34,34,536,"[(30.59610836, 104.1071128), (30.59843923, 104.1068588)]"
