,name_road,oldname_road,points
0,0,478,"[(30.66779109, 104.0534762), (30.66266858, 104.0537493)]"
1,1,479,"[(30.66779109, 104.0534762), (30.6693854, 104.0497155)]"
2,2,480,"[(30.66779109, 104.0534762), (30.67093727, 104.0537252)]"
3,3,612,"[(30.6678427, 104.0662788), (30.66946366, 104.0663159)]"
4,4,613,"[(30.66946366, 104.0663159), (30.66947157, 104.0657402)]"
5,5,614,"[(30.66946366, 104.0663159), (30.66950393, 104.0681003)]"
6,6,642,"[(30.66880677, 104.0451214), (30.66603272, 104.0433938)]"
7,7,643,"[(30.66880677, 104.0451214), (30.6673649, 104.049146)]"
8,8,644,"[(30.66880677, 104.0451214), (30.6710722, 104.0460036)]"
9,9,646,"[(30.65744999, 104.0704498), (30.65608713, 104.0696195)]"
10,10,647,"[(30.65744999, 104.0704498), (30.65684818, 104.0716869)]"
11,11,648,"[(30.65744999, 104.0704498), (30.65841363, 104.0685349)]"
12,12,649,"[(30.65744999, 104.0704498), (30.66099639, 104.0729025)]"
13,13,738,"[(30.65705933, 104.0634634), (30.65688755, 104.0583608)]"
14,14,739,"[(30.65705933, 104.0634634), (30.65498885, 104.063511)]"
15,15,740,"[(30.65705933, 104.0634634), (30.65714859, 104.0679573)]"
16,16,741,"[(30.65705933, 104.0634634), (30.65879461, 104.0633208)]"
17,17,773,"[(30.66615043, 104.0697966), (30.66609783, 104.0683074)]"
18,18,826,"[(30.67481854, 104.0623267), (30.67466021, 104.0621684)]"
19,19,827,"[(30.67481854, 104.0623267), (30.67394402, 104.064009)]"
20,20,828,"[(30.67481854, 104.0623267), (30.67607279, 104.0631321)]"
21,21,853,"[(30.65381329, 104.0677955), (30.65097336, 104.0665173)]"
22,22,854,"[(30.65381329, 104.0677955), (30.65189819, 104.0701792)]"
23,23,855,"[(30.65381329, 104.0677955), (30.65485151, 104.0664825)]"
24,24,856,"[(30.6551454, 104.0688632), (30.65381329, 104.0677955)]"
25,25,954,"[(30.64887984, 104.0696483), (30.6485309, 104.0724705)]"
26,26,955,"[(30.64887984, 104.0696483), (30.64989872, 104.0637012)]"
27,27,956,"[(30.64887984, 104.0696483), (30.65116749, 104.0698233)]"
28,28,974,"[(30.65699134, 104.0560656), (30.6553011, 104.0574646)]"
29,29,975,"[(30.65699134, 104.0560656), (30.65769089, 104.0549972)]"
30,30,1175,"[(30.67840135, 104.0577632), (30.67517099, 104.055294)]"
31,31,1176,"[(30.67840135, 104.0577632), (30.67652495, 104.0579073)]"
32,32,1177,"[(30.67840135, 104.0577632), (30.67607279, 104.0631321)]"
33,33,1178,"[(30.67840135, 104.0577632), (30.6801717, 104.0552225)]"
34,34,1179,"[(30.67840135, 104.0577632), (30.68391526, 104.0601849)]"
35,35,1186,"[(30.67324036, 104.0634855), (30.67187144, 104.0625021)]"
36,36,1187,"[(30.67295026, 104.0640141), (30.67324036, 104.0634855)]"
37,37,1188,"[(30.67394402, 104.064009), (30.67324036, 104.0634855)]"
38,38,1210,"[(30.66585244, 104.0683242), (30.66577495, 104.0663676)]"
39,39,1211,"[(30.66585244, 104.0683242), (30.66259625, 104.0684967)]"
40,40,1212,"[(30.66585244, 104.0683242), (30.66609783, 104.0683074)]"
41,41,1236,"[(30.64925009, 104.0817032), (30.64586314, 104.0804742)]"
42,42,1238,"[(30.64925009, 104.0817032), (30.64973437, 104.0808711)]"
43,43,1239,"[(30.64925009, 104.0817032), (30.65151133, 104.0827149)]"
44,44,1264,"[(30.68391526, 104.0601849), (30.682564, 104.064995)]"
45,45,1265,"[(30.68391526, 104.0601849), (30.68386085, 104.0589175)]"
46,46,1272,"[(30.65887109, 104.0617403), (30.6587772, 104.0582534)]"
47,47,1273,"[(30.65887109, 104.0617403), (30.65879461, 104.0633208)]"
48,48,1274,"[(30.66071793, 104.0617125), (30.65887109, 104.0617403)]"
49,49,1338,"[(30.66070539, 104.0581439), (30.6587772, 104.0582534)]"
50,50,1339,"[(30.66070539, 104.0581439), (30.66075741, 104.0602277)]"
51,51,1340,"[(30.66070539, 104.0581439), (30.66240031, 104.0581438)]"
52,52,1341,"[(30.66070539, 104.0581439), (30.66266858, 104.0537493)]"
53,53,1352,"[(30.67856027, 104.0489797), (30.67706348, 104.0467099)]"
54,54,1353,"[(30.67856027, 104.0489797), (30.67709606, 104.0514072)]"
55,55,1354,"[(30.67856027, 104.0489797), (30.68136594, 104.0535507)]"
56,56,1411,"[(30.65083318, 104.0726028), (30.6485309, 104.0724705)]"
57,57,1412,"[(30.65083318, 104.0726028), (30.64984915, 104.0759907)]"
58,58,1413,"[(30.65083318, 104.0726028), (30.65189819, 104.0701792)]"
59,59,1414,"[(30.65083318, 104.0726028), (30.65259729, 104.0741366)]"
60,60,1522,"[(30.67587069, 104.0719208), (30.6743258, 104.0709467)]"
61,61,1523,"[(30.67587069, 104.0719208), (30.67497315, 104.0738388)]"
62,62,1524,"[(30.67587069, 104.0719208), (30.67806439, 104.0679123)]"
63,63,1539,"[(30.6535869, 104.0562259), (30.6517935, 104.0549607)]"
64,64,1540,"[(30.6535869, 104.0562259), (30.65264309, 104.0581861)]"
65,65,1541,"[(30.6535869, 104.0562259), (30.6553011, 104.0574646)]"
66,66,1542,"[(30.6535869, 104.0562259), (30.65569411, 104.0530059)]"
67,67,1574,"[(30.67295026, 104.0640141), (30.67144791, 104.0632252)]"
68,68,1575,"[(30.67201962, 104.066047), (30.67295026, 104.0640141)]"
69,69,1576,"[(30.67295026, 104.0640141), (30.67506014, 104.0653152)]"
70,70,1609,"[(30.67074252, 104.0580009), (30.66940919, 104.058001)]"
71,71,1610,"[(30.67074252, 104.0580009), (30.67321994, 104.0595661)]"
72,72,1611,"[(30.67074252, 104.0580009), (30.67416757, 104.0579058)]"
73,73,1690,"[(30.64973437, 104.0808711), (30.64675931, 104.0783778)]"
74,74,1691,"[(30.64973437, 104.0808711), (30.65164009, 104.0769254)]"
75,75,1692,"[(30.64973437, 104.0808711), (30.65181091, 104.0821982)]"
76,76,1715,"[(30.66603272, 104.0433938), (30.66539556, 104.0447227)]"
77,77,1750,"[(30.66945889, 104.0597426), (30.66940919, 104.058001)]"
78,78,1751,"[(30.66945889, 104.0597426), (30.66775043, 104.0599328)]"
79,79,1752,"[(30.66945889, 104.0597426), (30.66960555, 104.0629728)]"
80,80,1773,"[(30.67845521, 104.0734583), (30.67758218, 104.0758934)]"
81,81,1774,"[(30.67845521, 104.0734583), (30.67976462, 104.0690207)]"
82,82,1778,"[(30.66775043, 104.0599328), (30.66597437, 104.0600469)]"
83,83,1779,"[(30.66775043, 104.0599328), (30.66775544, 104.0630465)]"
84,84,1790,"[(30.67806439, 104.0679123), (30.67646893, 104.0666797)]"
85,85,1791,"[(30.67806439, 104.0679123), (30.67849467, 104.0667701)]"
86,86,1792,"[(30.67806439, 104.0679123), (30.67976462, 104.0690207)]"
87,87,1858,"[(30.6743258, 104.0709467), (30.6728792, 104.0698106)]"
88,88,1859,"[(30.6743258, 104.0709467), (30.67363721, 104.0726142)]"
89,89,1860,"[(30.6743258, 104.0709467), (30.67514299, 104.0692409)]"
90,90,1922,"[(30.6517935, 104.0549607), (30.65083815, 104.05724)]"
91,91,1923,"[(30.6517935, 104.0549607), (30.65538228, 104.0500586)]"
92,92,1991,"[(30.65165033, 104.0642409), (30.6516143, 104.0636453)]"
93,93,1992,"[(30.65165033, 104.0642409), (30.65097336, 104.0665173)]"
94,94,1993,"[(30.65165033, 104.0642409), (30.65485151, 104.0664825)]"
95,95,2048,"[(30.65485151, 104.0664825), (30.65498885, 104.063511)]"
96,96,2049,"[(30.65485151, 104.0664825), (30.65714859, 104.0679573)]"
97,97,2055,"[(30.6801717, 104.0552225), (30.67709606, 104.0514072)]"
98,98,2056,"[(30.6801717, 104.0552225), (30.68136594, 104.0535507)]"
99,99,2058,"[(30.66270572, 104.0618457), (30.66071793, 104.0617125)]"
100,100,2059,"[(30.6647108, 104.0632366), (30.66270572, 104.0618457)]"
101,101,2061,"[(30.6485309, 104.0724705), (30.64830309, 104.0751968)]"
102,102,2077,"[(30.66071793, 104.0617125), (30.66075741, 104.0602277)]"
103,103,2078,"[(30.66071793, 104.0617125), (30.6607499, 104.0649632)]"
104,104,2091,"[(30.67059491, 104.0707136), (30.6717139, 104.0682796)]"
105,105,2103,"[(30.6563458, 104.085206), (30.65151133, 104.0827149)]"
106,106,2150,"[(30.65918799, 104.0526638), (30.65673632, 104.0511249)]"
107,107,2151,"[(30.65918799, 104.0526638), (30.65769089, 104.0549972)]"
108,108,2152,"[(30.65918799, 104.0526638), (30.66116566, 104.0533352)]"
109,109,2153,"[(30.66259625, 104.0684967), (30.6609573, 104.0684967)]"
110,110,2154,"[(30.66259625, 104.0684967), (30.6627216, 104.0697571)]"
111,111,2241,"[(30.66947157, 104.0657402), (30.66960555, 104.0629728)]"
112,112,2242,"[(30.66947157, 104.0657402), (30.67201962, 104.066047)]"
113,113,2243,"[(30.64830309, 104.0751968), (30.64675931, 104.0783778)]"
114,114,2244,"[(30.64830309, 104.0751968), (30.64984915, 104.0759907)]"
115,115,2275,"[(30.66253637, 104.0649365), (30.6647108, 104.0632366)]"
116,116,2276,"[(30.6647108, 104.0632366), (30.66775544, 104.0630465)]"
117,117,2312,"[(30.65538228, 104.0500586), (30.65422889, 104.0449103)]"
