,name_road,oldname_road,points
0,0,16,"[(30.6867731, 104.0439712), (30.68572405, 104.0444437)]"
1,1,17,"[(30.6867731, 104.0439712), (30.68723173, 104.0428231)]"
2,2,313,"[(30.67914647, 104.0217392), (30.67648682, 104.0192811)]"
3,3,314,"[(30.67914647, 104.0217392), (30.67849209, 104.022412)]"
4,4,315,"[(30.67914647, 104.0217392), (30.68025139, 104.0229629)]"
5,5,364,"[(30.66338368, 104.0192612), (30.65955788, 104.0194321)]"
6,6,365,"[(30.66338368, 104.0192612), (30.66356652, 104.0215958)]"
7,7,366,"[(30.66338368, 104.0192612), (30.66475911, 104.0192041)]"
8,8,405,"[(30.65402171, 104.022186), (30.65338115, 104.0244625)]"
9,9,406,"[(30.65402171, 104.022186), (30.65421329, 104.0196143)]"
10,10,407,"[(30.65402171, 104.022186), (30.65622063, 104.0229439)]"
11,11,517,"[(30.67140608, 104.0273319), (30.66826907, 104.0266969)]"
12,12,518,"[(30.67140608, 104.0273319), (30.67099192, 104.0295701)]"
13,13,519,"[(30.67140608, 104.0273319), (30.6718376, 104.0247463)]"
14,14,542,"[(30.68572405, 104.0444437), (30.68486415, 104.0427153)]"
15,15,543,"[(30.68572405, 104.0444437), (30.68596676, 104.0455297)]"
16,16,645,"[(30.66880677, 104.0451214), (30.67190071, 104.0387221)]"
17,17,667,"[(30.68164203, 104.0406601), (30.67962794, 104.0394068)]"
18,18,668,"[(30.68164203, 104.0406601), (30.68304127, 104.0416006)]"
19,19,669,"[(30.68381535, 104.0361049), (30.68164203, 104.0406601)]"
20,20,891,"[(30.68684125, 104.0402926), (30.68440161, 104.0422872)]"
21,21,892,"[(30.68684125, 104.0402926), (30.68582265, 104.041945)]"
22,22,893,"[(30.68684125, 104.0402926), (30.6876936, 104.0396273)]"
23,23,951,"[(30.6533746, 104.0331866), (30.65335487, 104.0344558)]"
24,24,952,"[(30.6533746, 104.0331866), (30.65343078, 104.0295853)]"
25,25,953,"[(30.6533746, 104.0331866), (30.65657928, 104.0309005)]"
26,26,987,"[(30.68693798, 104.0498319), (30.68596676, 104.0455297)]"
27,27,988,"[(30.68693798, 104.0498319), (30.68263452, 104.051193)]"
