,name_road,points
0,US 101 B__a,"[(37.329728, -121.842102), (37.335284, -121.84766200000001), (37.336089, -121.848437), (37.336549, -121.848881), (37.34241, -121.85454299999999), (37.343447, -121.855539), (37.350928, -121.862378), (37.35512, -121.86696699999999), (37.358996000000005, -121.871981), (37.363310999999996, -121.893592), (37.364084999999996, -121.901149), (37.364689, -121.90298899999999)]"
1,US 101 B__b,"[(37.368103999999995, -121.90788), (37.371809000000006, -121.91655), (37.372673999999996, -121.922087), (37.374628, -121.931055), (37.376684999999995, -121.94075), (37.377237, -121.94358600000001), (37.382585999999996, -121.965617), (37.383125, -121.967496), (37.385523, -121.975872), (37.386551000000004, -121.97946200000001), (37.388542, -121.986478), (37.391166, -121.995524)]"
2,US 101 B__c,"[(37.391921999999994, -121.998077), (37.393954, -122.005269), (37.395920000000004, -122.013438), (37.396411, -122.015716), (37.398596999999995, -122.02569299999999), (37.402071, -122.041627), (37.404178, -122.05107), (37.40547, -122.055924), (37.407511, -122.065278), (37.409514, -122.07172800000001), (37.412677, -122.07953899999998)]"
3,US 101 A__a,"[(37.411999, -122.078452), (37.4118, -122.077964), (37.411338, -122.076826), (37.407282, -122.06515), (37.405335, -122.056343), (37.403153, -122.047463), (37.401893, -122.041683), (37.40013, -122.03362800000001), (37.398989, -122.028373), (37.398628, -122.026802), (37.396611, -122.017518)]"
4,US 101 A__b,"[(37.395734000000004, -122.01348899999999), (37.395067, -122.01051799999999), (37.393755, -122.005329), (37.390763, -121.99491200000001), (37.390421999999994, -121.99371599999999), (37.388372, -121.986538), (37.385758, -121.977493), (37.38482, -121.974251), (37.381356, -121.96211000000001), (37.380958, -121.96074099999998), (37.376835, -121.94253700000002)]"
5,US 101 A__c,"[(37.376264, -121.93971200000001), (37.367859, -121.90797099999999), (37.364382, -121.90269199999999), (37.363644, -121.89953500000001), (37.362706, -121.889426), (37.3588, -121.87209399999999), (37.353727, -121.865827), (37.348392, -121.86058899999999), (37.343293, -121.855795), (37.335259, -121.848031), (37.329591, -121.84236100000001)]"
6,CA 85 A__a,"[(37.407146999999995, -122.07005500000001), (37.403673, -122.069953), (37.395123, -122.06861200000002), (37.388892999999996, -122.06882900000001), (37.384273, -122.06841200000001), (37.379368, -122.067871), (37.377057, -122.067805), (37.373187, -122.067646), (37.363107, -122.063006), (37.356615999999995, -122.06262), (37.351529, -122.06051799999999), (37.344708000000004, -122.059991)]"
7,CA 85 A__b,"[(37.337629, -122.05971699999999), (37.333574, -122.05700700000001), (37.319961, -122.049031), (37.303016, -122.034801), (37.298804, -122.03007099999999), (37.291053999999995, -122.02363799999999), (37.279012, -122.01061399999999), (37.275211999999996, -122.004898), (37.265311, -121.98169399999999), (37.259192, -121.967128), (37.257815, -121.96236999999999), (37.255491, -121.95554299999999)]"
8,CA 85 A__c,"[(37.254002, -121.94936499999999), (37.253303, -121.94543999999999), (37.251345, -121.93408899999999), (37.250448, -121.928226), (37.250424, -121.91246699999999), (37.250481, -121.907735), (37.255184, -121.87681699999999), (37.255594, -121.87471000000001), (37.255346, -121.85898), (37.255322, -121.85576499999999), (37.255257, -121.85256000000001)]"
9,CA 85 B__a,"[(37.255657, -121.858984), (37.255651, -121.858078), (37.255790999999995, -121.875479), (37.254781, -121.87891699999999), (37.250746, -121.90776299999999), (37.250664, -121.912479), (37.250624, -121.92820900000001), (37.251585, -121.934046), (37.254231, -121.94921599999999), (37.255715, -121.955375), (37.258029, -121.96221100000001), (37.259412, -121.966974)]"
10,CA 85 B__b,"[(37.265521, -121.98154), (37.275395, -122.00470200000001), (37.279234, -122.01035), (37.291198, -122.02339099999999), (37.298931, -122.02980600000001), (37.303131, -122.034527), (37.320009999999996, -122.04875700000001), (37.326592, -122.050852), (37.331501, -122.05468700000002), (37.333648, -122.056851), (37.335431, -122.05833700000001), (37.344713, -122.059766)]"
11,CA 85 B__c,"[(37.351571, -122.06028500000001), (37.353092, -122.0609), (37.356654999999996, -122.062397), (37.363146, -122.062707), (37.373213, -122.06736799999999), (37.377217, -122.06754199999999), (37.379094, -122.067604), (37.383707, -122.06810800000001), (37.396419, -122.068661), (37.403686, -122.06976), (37.407311, -122.069566)]"
12,I 880 B__a,"[(37.321822, -121.940425), (37.325151, -121.940679), (37.335021999999995, -121.93552199999999), (37.342209999999994, -121.926305), (37.348907000000004, -121.917833), (37.357526, -121.90788400000001)]"
13,I 880 B__b,"[(37.363402, -121.90223300000001), (37.36614, -121.901132), (37.370203000000004, -121.90151399999999), (37.391595, -121.90650600000001), (37.38449, -121.904845), (37.398697999999996, -121.908172)]"
14,I 880 B__c,"[(37.405823999999996, -121.909842), (37.414988, -121.91268500000001), (37.421232, -121.91480800000001), (37.419153, -121.914103), (37.424833, -121.916049), (37.427486, -121.91696200000001)]"
15,I 880 A__a,"[(37.421182, -121.91503600000001), (37.419106, -121.914308), (37.413256, -121.912324), (37.405777, -121.910072), (37.399227, -121.908515), (37.391557, -121.90671), (37.384485, -121.90504399999999), (37.380274, -121.90406100000001)]"
16,I 880 A__b,"[(37.368669, -121.90133600000001), (37.365167, -121.901551), (37.362439, -121.90321100000001), (37.359087, -121.90653799999998), (37.356826, -121.908804), (37.349517, -121.91728), (37.349229, -121.917686)]"
17,I 880 A__c,"[(37.34766, -121.919969), (37.342957, -121.925721), (37.341275, -121.927699), (37.334602000000004, -121.93628799999999), (37.334296, -121.936706), (37.325153, -121.940859), (37.318919, -121.940307)]"
18,CA 87 A__a,"[(37.344411, -121.902181), (37.344302, -121.902123), (37.337137, -121.897741)]"
19,CA 87 A__b,"[(37.336401, -121.89756299999999), (37.328953999999996, -121.89564299999999), (37.320291999999995, -121.890281)]"
20,CA 87 A__c,"[(37.270311, -121.861079), (37.270209, -121.860998), (37.261849, -121.859205)]"
21,CA 87 B__a,"[(37.26198, -121.858479), (37.262704, -121.85853300000001), (37.266658, -121.85921), (37.266721999999994, -121.859225), (37.27263, -121.862544), (37.27263, -121.862544), (37.272658, -121.86255600000001), (37.276763, -121.86366100000001), (37.276874, -121.863698), (37.279515, -121.86478400000001), (37.279628, -121.86483799999999), (37.284665000000004, -121.867631)]"
22,CA 87 B__b,"[(37.284773, -121.867709), (37.287298, -121.869548), (37.2874, -121.869623), (37.291715, -121.871799), (37.291828, -121.87183600000002), (37.294949, -121.87310900000001), (37.297486, -121.874117), (37.303359, -121.87806599999999), (37.303458, -121.878143), (37.309012, -121.88251799999999), (37.309111, -121.88259599999999), (37.313375, -121.88610600000001)]"
23,CA 87 B__c,"[(37.313462, -121.886197), (37.320403999999996, -121.89031000000001), (37.325009, -121.89298400000001), (37.325124, -121.89306200000001), (37.337478999999995, -121.897848), (37.348448, -121.907247), (37.362466999999995, -121.917418), (37.362565999999994, -121.917493), (37.366662, -121.92151899999999), (37.366737, -121.921627), (37.371159999999996, -121.92688500000001), (37.371274, -121.92691699999999)]"
24,CA 17 A__a,"[(37.295052, -121.938872), (37.293046999999994, -121.93786100000001)]"
25,CA 17 A__b,"[(37.266560999999996, -121.948692), (37.2563, -121.95555900000001)]"
26,CA 17 A__c,"[(37.254601, -121.956775)]"
27,CA 17 B__a,"[(37.251740999999996, -121.958118), (37.256205, -121.95535500000001), (37.258184, -121.95385300000001)]"
