;aca;bnp;gle;san;bbva;inga;ucg;isp;cabk;cbk;dbk;nda;dnb;sab;danske;ebs;kbc;sweda;rbi;bami;bkt;otp;mb;bpe;jysk;pko;peo;bpso;birg;bcp;bmed;arl;srbnk;ming;seba;;;aca;bnp;gle;san;bbva;inga;ucg;isp;cabk;cbk;dbk;nda;dnb;sab;danske;ebs;kbc;sweda;rbi;bami;bkt;otp;mb;bpe;jysk;pko;peo;bpso;birg;bcp;bmed;arl;srbnk;ming;seba
03/01/2000;;44.60;49.13;10.00;13.62;23.09;126.94;3.65;;215.17;61.78;4.62;3.86;;10.17;11.21;53.10;12.29;;;4.40;5.80;9.18;9.05;9.27;;13.29;4.08;149.50;18.89;12.82;;2.80;2.88;5.20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/01/2000;;43.37;48.91;9.76;13.27;22.46;123.77;3.57;;209.18;60.98;4.40;3.69;;9.82;11.18;50.00;12.03;;;4.20;5.64;9.00;9.04;8.92;;13.42;4.24;147.04;18.51;11.95;;2.77;2.82;5.05;;;#DIV/0!;-0.027566461;-0.00448383;-0.023727864;-0.026094999;-0.027431486;-0.02498458;-0.020981703;#DIV/0!;-0.027854731;-0.012950223;-0.048857399;-0.042666715;#DIV/0!;-0.034091054;-0.002676421;-0.058380414;-0.020689274;#DIV/0!;#DIV/0!;-0.045442152;-0.028112561;-0.019609979;-0.0016126;-0.03716834;#DIV/0!;0.009802195;0.039283877;-0.016455706;-0.020069563;-0.067774138;#DIV/0!;-0.009549986;-0.01827698;-0.028085177
05/01/2000;;42.43;48.47;9.53;12.97;22.27;122.84;3.57;;209.78;62.34;4.29;3.56;;9.45;11.01;49.00;11.55;;;4.13;5.38;8.90;8.75;8.74;;13.41;4.18;148.55;18.13;11.05;;2.75;2.82;4.81;;;#DIV/0!;-0.021679986;-0.009010096;-0.02430456;-0.022445319;-0.008543926;-0.007536517;-0.002098372;#DIV/0!;0.002864998;0.022304223;-0.023605199;-0.035198903;#DIV/0!;-0.037672415;-0.015564898;-0.02;-0.040421214;#DIV/0!;#DIV/0!;-0.015876416;-0.045638622;-0.01046783;-0.032270912;-0.020671418;#DIV/0!;-0.00066264;-0.014539885;0.010295964;-0.020486002;-0.075964193;#DIV/0!;-0.007906351;-0.001660295;-0.047915211
06/01/2000;;40.99;48.03;9.53;12.97;22.11;121.61;3.49;;212.18;64.08;4.29;3.54;;9.45;11.01;48.40;11.55;;;4.13;5.35;8.91;8.75;8.80;;14.17;4.17;144.20;18.54;10.43;;2.79;2.85;4.81;;;#DIV/0!;-0.03409024;-0.009089953;0;0;-0.006897636;-0.009980633;-0.021224101;#DIV/0!;0.011428683;0.028025989;0;-0.007155635;#DIV/0!;-7.30259E-05;0;-0.012244898;0;#DIV/0!;#DIV/0!;0;-0.006691983;0.000426736;0;0.007069859;#DIV/0!;0.057225478;-0.002941317;-0.029299485;0.022811759;-0.055500226;#DIV/0!;0.014832974;0.009276234;0
07/01/2000;;41.49;48.03;9.95;13.13;22.55;121.80;3.57;;219.07;66.02;4.35;3.53;;9.45;11.51;49.85;11.64;;;4.11;5.44;9.07;8.85;8.86;;14.96;4.14;144.77;18.58;11.10;;2.85;2.81;4.94;;;#DIV/0!;0.0123533;0;0.044287919;0.012590594;0.019615734;0.001534389;0.02303065;#DIV/0!;0.032485659;0.030304922;0.012871598;-0.002316602;#DIV/0!;-0.000129128;0.045888233;0.029958678;0.008208803;#DIV/0!;#DIV/0!;-0.005175958;0.016880076;0.018487753;0.01167204;0.006961147;#DIV/0!;0.055682193;-0.006523564;0.003936904;0.00186038;0.063554448;#DIV/0!;0.01972359;-0.01110225;0.026738746
10/01/2000;;41.76;47.81;9.86;12.92;22.58;121.35;3.51;;218.59;64.32;4.57;3.54;;9.51;11.65;52.40;12.26;;;4.18;5.77;8.91;9.02;8.86;;15.37;4.07;146.66;19.03;11.60;;2.78;2.87;4.97;;;#DIV/0!;0.006391701;-0.004586669;-0.008835769;-0.016088873;0.001192973;-0.003720079;-0.017276138;#DIV/0!;-0.002188804;-0.025763359;0.050386046;0.004703501;#DIV/0!;0.00657472;0.012337098;0.05115346;0.053137092;#DIV/0!;#DIV/0!;0.015997666;0.06067183;-0.018361566;0.019775129;-3.38487E-06;#DIV/0!;0.027213317;-0.017260942;0.013072013;0.024118499;0.045155475;#DIV/0!;-0.023412265;0.018119353;0.005890664
11/01/2000;;40.21;48.03;9.53;12.66;22.31;118.01;3.53;;217.27;64.55;4.41;3.48;;9.49;11.47;51.30;12.55;;;4.50;5.67;8.78;9.14;8.80;;15.14;4.14;144.01;19.06;11.61;;2.84;2.85;4.97;;;#DIV/0!;-0.036952331;0.004607803;-0.033873209;-0.020074292;-0.011902231;-0.027453863;0.004786734;#DIV/0!;-0.006032301;0.003497971;-0.033738585;-0.01678448;#DIV/0!;-0.001609019;-0.015533814;-0.020992366;0.023694251;#DIV/0!;#DIV/0!;0.077675943;-0.015910451;-0.013899649;0.012931464;-0.007342928;#DIV/0!;-0.014966651;0.018178245;-0.018064267;0.001813194;0.000948603;#DIV/0!;0.02357404;-0.007038494;0.0003401
12/01/2000;;40.60;47.26;9.44;12.52;21.61;117.61;3.50;;219.07;62.61;4.44;3.51;;9.39;11.45;49.90;12.55;;;4.62;5.62;8.72;9.13;8.68;;14.82;4.17;143.82;20.16;11.71;;2.83;2.88;5.03;;;#DIV/0!;0.009593793;-0.016054382;-0.009227087;-0.011387867;-0.031156279;-0.003387734;-0.007684673;#DIV/0!;0.008275828;-0.030086137;0.006458658;0.00617059;#DIV/0!;-0.011269697;-0.002179409;-0.027290448;0.000234239;#DIV/0!;#DIV/0!;0.026645942;-0.009859205;-0.006728985;-0.00106113;-0.013107718;#DIV/0!;-0.021319891;0.005959274;-0.001314488;0.057864724;0.009218575;#DIV/0!;-0.0050141;0.011646459;0.012213301
13/01/2000;;40.50;46.49;9.36;12.21;21.38;114.07;3.46;;216.37;64.90;4.41;3.57;;9.44;11.48;51.20;12.58;;;5.25;5.79;8.71;9.09;8.86;;14.37;4.19;145.15;20.34;11.25;;2.82;2.88;5.13;;;#DIV/0!;-0.002376888;-0.016318447;-0.008380658;-0.024555854;-0.010836622;-0.030138368;-0.011744871;#DIV/0!;-0.012311624;0.03660991;-0.008454242;0.019644757;#DIV/0!;0.006099114;0.002621003;0.026052104;0.001873472;#DIV/0!;#DIV/0!;0.134616632;0.030347307;-0.001088975;-0.004259979;0.020464034;#DIV/0!;-0.03000137;0.005899988;0.009210749;0.008544635;-0.039866826;#DIV/0!;-0.003583393;0.001983576;0.019656088
14/01/2000;;41.23;47.15;9.61;12.45;21.88;114.15;3.51;;218.17;65.33;4.39;3.70;;9.45;11.56;50.00;12.53;;;5.51;6.27;8.99;9.14;8.86;;14.25;4.19;144.77;20.13;11.76;;2.90;2.90;5.20;;;#DIV/0!;0.017858025;0.014218662;0.026294702;0.019670789;0.023706947;0.000701327;0.014313391;#DIV/0!;0.008310213;0.006579556;-0.002730876;0.035223127;#DIV/0!;0.000293312;0.007232485;-0.0234375;-0.003728807;#DIV/0!;#DIV/0!;0.050839703;0.083764144;0.031476998;0.005345006;0.000293446;#DIV/0!;-0.008572762;0;-0.002607723;-0.010168658;0.045967814;#DIV/0!;0.027057221;0.004527883;0.013626565
17/01/2000;;40.86;46.66;9.35;12.34;21.73;111.91;3.39;;219.37;67.06;4.33;3.69;;9.44;11.52;48.90;12.45;;;6.00;6.47;8.73;9.15;8.79;;14.45;4.19;147.04;20.13;11.01;;2.89;2.88;5.24;;;#DIV/0!;-0.008771143;-0.010280132;-0.026526745;-0.009260152;-0.007018666;-0.019612876;-0.032755573;#DIV/0!;0.005494329;0.026513586;-0.013653074;-0.003048196;#DIV/0!;-0.001058579;-0.003200969;-0.022;-0.006599712;#DIV/0!;#DIV/0!;0.087907702;0.030877754;-0.028614022;0.000536035;-0.008093352;#DIV/0!;0.01378927;0;0.015686554;0;-0.063923835;#DIV/0!;-0.001094662;-0.00742042;0.006888024
18/01/2000;;39.78;45.83;8.88;12.08;21.50;109.75;3.33;;217.99;66.06;4.45;3.71;;9.41;11.44;46.70;12.36;;;6.56;6.49;8.44;9.24;8.80;;14.26;4.19;143.82;20.34;11.29;;2.90;2.91;5.15;;;#DIV/0!;-0.026548716;-0.017940833;-0.050756101;-0.021028056;-0.010597812;-0.019290381;-0.017359781;#DIV/0!;-0.00628393;-0.01482321;0.025985595;0.00510128;#DIV/0!;-0.002847415;-0.007463982;-0.044989775;-0.00742038;#DIV/0!;#DIV/0!;0.094143934;0.003472394;-0.03282406;0.010102667;0.001104526;#DIV/0!;-0.012904668;0;-0.021879348;0.010273122;0.025608427;#DIV/0!;0.003882186;0.012952422;-0.01691319
