,name_road,points
0,CA 134 1__a,"[(34.153259999999996, -118.35921), (34.15403, -118.34232), (34.15397, -118.34172), (34.15351, -118.32751), (34.15469, -118.31253000000001), (34.1566, -118.30266), (34.155590000000004, -118.2957), (34.155440000000006, -118.29343999999999)]"
1,CA 134 1__b,"[(34.153620000000004, -118.28441000000001), (34.15597, -118.2666), (34.156459999999996, -118.26092), (34.15648, -118.24673999999999), (34.14929, -118.23182), (34.14584, -118.22251000000001), (34.145109999999995, -118.21587), (34.147690000000004, -118.20137)]"
2,CA 134 2__a,"[(34.14163, -118.1829), (34.14747, -118.20123000000001), (34.14483, -118.21587), (34.145590000000006, -118.22251000000001), (34.14604, -118.2243), (34.15402, -118.23893000000001), (34.155640000000005, -118.24188000000001), (34.15627, -118.25506000000001), (34.1562, -118.26359), (34.15478, -118.27076000000001), (34.15262, -118.28034)]"
3,CA 134 2__b,"[(34.15247, -118.2852), (34.15522, -118.29343999999999), (34.155409999999996, -118.29575), (34.15641, -118.30266), (34.15546, -118.30841000000001), (34.15497, -118.31828999999999), (34.15384, -118.325), (34.15359, -118.34043), (34.15367, -118.3484), (34.15302, -118.35921)]"
4,CA 2 1__a,"[(34.18555, -118.21733), (34.16556, -118.22431999999999), (34.15699, -118.22436), (34.14347, -118.22703999999999), (34.134859999999996, -118.22932), (34.129670000000004, -118.22871)]"
5,CA 2 1__b,"[(34.119659999999996, -118.23143), (34.116209999999995, -118.23799), (34.11439, -118.24208999999999), (34.11059, -118.24819), (34.103770000000004, -118.24962)]"
6,CA 2 2__a,"[(34.103770000000004, -118.24991999999999), (34.11296, -118.24488999999998), (34.116409999999995, -118.23818999999999), (34.123020000000004, -118.22888999999999), (34.12964, -118.22901), (34.134859999999996, -118.22968999999999)]"
7,CA 2 2__b,"[(34.13904, -118.22861999999999), (34.14352, -118.22733000000001), (34.1491, -118.2257), (34.156909999999996, -118.22469), (34.16339, -118.2253), (34.18555, -118.21766000000001)]"
8,US 101 1__a,"[(34.05368, -118.23369), (34.057590000000005, -118.24356999999999), (34.064609999999995, -118.25102), (34.06664, -118.25397), (34.07006, -118.26246), (34.07142, -118.26572), (34.07488, -118.27362), (34.07696, -118.28093), (34.07821, -118.28795), (34.08265, -118.29755), (34.08558, -118.30174), (34.089929999999995, -118.30606999999999), (34.09359, -118.30918), (34.096990000000005, -118.31381), (34.10045, -118.31601), (34.10262, -118.31747), (34.10634, -118.32826000000001), (34.11027, -118.33441), (34.12073, -118.33928), (34.12634, -118.34482)]"
9,US 101 1__b,"[(34.129740000000005, -118.34808999999998), (34.133379999999995, -118.3535), (34.13561, -118.36006), (34.13876, -118.36438000000001), (34.14745, -118.37123999999999), (34.154340000000005, -118.39618), (34.15655, -118.40441000000001), (34.15664, -118.41326000000001), (34.1566, -118.42216), (34.15555, -118.43908), (34.156659999999995, -118.44808), (34.15818, -118.45658), (34.1593, -118.46483), (34.16037, -118.47012), (34.16498, -118.47493), (34.165259999999996, -118.47985), (34.16519, -118.49166000000001), (34.16903, -118.49885), (34.17109, -118.50495), (34.17112, -118.51813999999999)]"
10,US 101 2__a,"[(34.173390000000005, -118.5368), (34.171279999999996, -118.51976), (34.17126, -118.50495), (34.16928, -118.49871999999999), (34.165420000000005, -118.47985), (34.165209999999995, -118.47483999999999), (34.163779999999996, -118.47223999999999), (34.16028, -118.46808), (34.158429999999996, -118.45664), (34.15574, -118.43931), (34.15571, -118.43273), (34.15679, -118.42222), (34.15685, -118.41456000000001), (34.15677, -118.40423999999999), (34.154509999999995, -118.39698999999999), (34.15459, -118.37935), (34.1527, -118.3754), (34.15133, -118.37456), (34.14761, -118.3711), (34.13583, -118.35993), (34.134009999999996, -118.35506000000001)]"
11,US 101 2__b,"[(34.13286, -118.35135), (34.128809999999994, -118.34683999999999), (34.12659, -118.34465), (34.12095, -118.33911), (34.11684, -118.33698000000001), (34.10478, -118.32497), (34.1027, -118.3173), (34.10054, -118.31581000000001), (34.0971, -118.31366000000001), (34.09373, -118.30906999999999), (34.09004, -118.3059), (34.08571, -118.30161000000001), (34.08294, -118.29728999999999), (34.08102, -118.29325), (34.07898, -118.28911000000001), (34.07732, -118.28186000000001), (34.07502, -118.27356), (34.07248, -118.26772), (34.06913, -118.25932), (34.06491, -118.25126000000002), (34.05773, -118.24348)]"
12,I 405 1__a,"[(34.15562, -118.4686), (34.16789, -118.46896000000001), (34.17091, -118.46775), (34.18011, -118.47045), (34.18529, -118.47395)]"
